=== GridSearch RESULTS (Random Forest) ===
  Best Params: {'max_depth': 8, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}
  Accuracy on train: 0.6933

Test Accuracy (próg=0.5): 66.42%

Coverage vs. Accuracy (threshold w [0.40..0.80]):
 Threshold=0.40 => coverage=65.68%, accuracy=60.72%
 Threshold=0.41 => coverage=64.75%, accuracy=61.06%
 Threshold=0.42 => coverage=63.48%, accuracy=61.59%
 Threshold=0.43 => coverage=62.62%, accuracy=61.76%
 Threshold=0.44 => coverage=61.61%, accuracy=62.03%
 Threshold=0.45 => coverage=60.42%, accuracy=62.32%
 Threshold=0.46 => coverage=59.11%, accuracy=62.55%
 Threshold=0.47 => coverage=57.65%, accuracy=63.13%
 Threshold=0.48 => coverage=56.06%, accuracy=63.57%
 Threshold=0.49 => coverage=53.34%, accuracy=64.16%
 Threshold=0.50 => coverage=50.62%, accuracy=65.09%
 Threshold=0.51 => coverage=47.51%, accuracy=66.12%
 Threshold=0.52 => coverage=43.48%, accuracy=67.50%
 Threshold=0.53 => coverage=40.98%, accuracy=68.47%
 Threshold=0.54 => coverage=38.44%, accuracy=69.12%
 Threshold=0.55 => coverage=36.46%, accuracy=69.90%
 Threshold=0.56 => coverage=34.79%, accuracy=70.54%
 Threshold=0.57 => coverage=33.38%, accuracy=70.98%
 Threshold=0.58 => coverage=32.16%, accuracy=71.36%
 Threshold=0.59 => coverage=30.88%, accuracy=72.00%
 Threshold=0.60 => coverage=29.27%, accuracy=72.50%
 Threshold=0.61 => coverage=27.50%, accuracy=73.41%
 Threshold=0.62 => coverage=25.66%, accuracy=74.33%
 Threshold=0.63 => coverage=23.74%, accuracy=75.43%
 Threshold=0.64 => coverage=21.77%, accuracy=76.53%
 Threshold=0.65 => coverage=20.42%, accuracy=76.91%
 Threshold=0.66 => coverage=19.48%, accuracy=77.56%
 Threshold=0.67 => coverage=18.16%, accuracy=78.53%
 Threshold=0.68 => coverage=17.01%, accuracy=79.02%
 Threshold=0.69 => coverage=15.80%, accuracy=80.10%
 Threshold=0.70 => coverage=14.60%, accuracy=80.84%
 Threshold=0.71 => coverage=13.22%, accuracy=81.81%
 Threshold=0.72 => coverage=11.48%, accuracy=83.01%
 Threshold=0.73 => coverage=9.46%, accuracy=83.06%
 Threshold=0.74 => coverage=6.68%, accuracy=83.29%
 Threshold=0.75 => coverage=4.59%, accuracy=83.22%
 Threshold=0.76 => coverage=2.67%, accuracy=85.88%
 Threshold=0.77 => coverage=1.30%, accuracy=92.77%
 Threshold=0.78 => coverage=0.55%, accuracy=94.29%
 Threshold=0.79 => coverage=0.09%, accuracy=100.00%
 Threshold=0.80 => 0% coverage

________________________________________________________________________
Train Accuracy: 67.36%

Wybrane parametry Gradient Boosting:
{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 0.9, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}

Test Accuracy (próg=0.5): 66.29%

Ocena dla klasy 1:
 Threshold=0.40 => coverage=66.78%, accuracy=60.62%
 Threshold=0.41 => coverage=65.30%, accuracy=61.12%
 Threshold=0.42 => coverage=63.42%, accuracy=61.75%
 Threshold=0.43 => coverage=61.34%, accuracy=62.25%
 Threshold=0.44 => coverage=59.77%, accuracy=62.81%
 Threshold=0.45 => coverage=58.14%, accuracy=63.25%
 Threshold=0.46 => coverage=56.42%, accuracy=63.69%
 Threshold=0.47 => coverage=53.95%, accuracy=64.36%
 Threshold=0.48 => coverage=52.30%, accuracy=64.83%
 Threshold=0.49 => coverage=50.15%, accuracy=65.27%
 Threshold=0.50 => coverage=48.11%, accuracy=65.75%
 Threshold=0.51 => coverage=45.70%, accuracy=66.39%
 Threshold=0.52 => coverage=43.30%, accuracy=66.85%
 Threshold=0.53 => coverage=39.85%, accuracy=67.81%
 Threshold=0.54 => coverage=36.96%, accuracy=69.16%
 Threshold=0.55 => coverage=34.77%, accuracy=69.98%
 Threshold=0.56 => coverage=32.62%, accuracy=70.94%
 Threshold=0.57 => coverage=30.86%, accuracy=71.68%
 Threshold=0.58 => coverage=28.71%, accuracy=72.73%
 Threshold=0.59 => coverage=27.26%, accuracy=73.53%
 Threshold=0.60 => coverage=25.67%, accuracy=74.53%
 Threshold=0.61 => coverage=24.08%, accuracy=75.07%
 Threshold=0.62 => coverage=22.40%, accuracy=75.51%
